ppo_2
-980.8677879568826
-1181.7312444487754
-1413.40711895182
-1227.543681910315
-1116.411148945459
-1279.4933282980885
-1279.8574589019734
-1021.4609244629794
-1085.6450690480085
-1062.7781771689683
-995.1984298233604
-1190.467999836354
-1028.0738742480337
-1461.965238859608
-1341.406319982094
-1177.9724751957724
-1110.4175772923422
-1115.9001882513676
-1628.758980291631
-1098.7293638028402
-1179.6436071974258
-1145.5292518381302
-1105.219678060272
-1022.0457347776342
-908.7559505648202
-1371.7273783215537
-1770.8834339721293
-1014.3465557974921
-1082.8248210806212
-1117.29577908719
-1188.9896048000417
-1201.6859390781156
-1227.5484647579665
-1128.706420239025
-1165.3493457363265
-1133.204771674143
-1616.3514587569052
-1238.0675044570191
-1192.1850029222462
-1152.713747177732
-1326.9978461649225
-1282.1128935484865
-1260.7118479986693
-1239.1404589563983
-1258.648181009788
-898.914433326847
-1170.6672195314018
-995.4366177676164
-1187.3492841104226
-930.5712205122313
-1365.402797957519
-1216.5523211778457
-1069.1100921948077
-1171.7213787697547
-1168.319376938317
-1206.7069305774098
-1173.6100369554588
-1199.3116261174341
-1147.6307491208904
-910.2948342608942
-1158.0270891769105
-1156.3295720182782
-1166.2778077373205
-1437.7694793773255
-1021.9781420620326
-885.5895816093624
-1123.5683859331705
-1288.326993177263
-1258.599162837697
-919.0669770507545
-1059.5651626768822
-999.7385209365741
-1226.467065096136
-1082.628981681431
-1173.8927635835867
-990.9232690800795
-883.3345574229604
-952.7794644680474
-847.6601796813314
-1022.469445670334
-1276.0232043147735
-1490.776850008178
-1054.954402461466
-1155.711543509675
-994.777155382199
-1103.565109957628
-896.4102301800264
-1111.0643734192752
-1212.7502695123567
-1069.510030950565
-1155.2708799686368
-899.8275768330745
-884.5577445682842
-962.2680327318039
-1135.5619404818829
-1101.2128143414773
-1155.5633330973901
-865.6850112132272
-1133.2383216579242
-988.968350735334
-1130.2707803842866
-1339.2700207337498
-1278.9990945906684
-974.7804942704473
-876.4195939291517
-1161.2989756099387
-863.1918524752883
-1210.4838889759415
-1221.18522848841
